	supersense_category	text
283	noun.substance	oil
284	noun.group	body
286	noun.time	microsecond
287	verb.motion	pullout
290	noun.act	defense
291	verb.cognition	gear
292	noun.act	intrusion
293	verb.social	fendoff
294	noun.communication	warrant
295	noun.communication	writ
296	noun.communication	subpoena
297	verb.competition	breach
298	noun.group	core
299	noun.attribute	league
300	noun.object	maze
301	noun.location	landline
302	verb.stative	spurt
303	noun.group	MayDay
304	noun.group	lawfirm
305	noun.cognition	parameter
306	noun.act	glitch
307	noun.artifact	system
308	verb.motion	gobble
309	noun.communication	distresscall
310	noun.artifact	subprograms
311	verb.perception	scan
312	verb.change	blank
315	verb.contact	lift
316	noun.communication	Tokyonumber
317	verb.cognition	choose
318	noun.time	frequency
320	verb.change	return
322	noun.communication	scramblercall
323	noun.person	pal
324	noun.location	Japan
325	noun.person	mat
326	noun.act	ride
329	noun.act	omen
330	noun.act	change
331	verb.stative	sit
332	noun.location	GentlemanLoser
333	noun.location	loft
334	verb.contact	shaving
336	noun.animal	waldo
337	noun.plant	stump
339	verb.contact	clip
340	noun.substance	carbon
341	noun.artifact	stud
342	verb.stative	stick
343	noun.body	stump
344	noun.person	right
347	verb.change	let
348	verb.stative	spend
349	noun.body	freckle
350	noun.shape	bridge
351	verb.motion	somewhere
352	noun.attribute	amber
353	noun.group	french
354	noun.artifact	jean
355	verb.stative	match
357	noun.location	sprawl
358	noun.state	smoke
360	verb.body	hood
361	verb.weather	blowin
362	verb.competition	wave
364	noun.act	show
365	verb.contact	root
366	noun.artifact	audiocassette
368	verb.contact	unclippe
369	verb.consumption	want
370	noun.artifact	hinge
371	noun.artifact	cassette
372	noun.time	tomorrow
373	verb.motion	pull
375	noun.communication	fortunecookie
376	verb.body	yawn
379	verb.change	dissolve
380	noun.object	sheet
381	verb.change	flicker
382	verb.change	fade
383	noun.state	glitch
385	verb.stative	spinout
387	verb.motion	tumbling
388	noun.act	thrust
389	verb.contact	infect
392	noun.person	virus
393	noun.artifact	analog
394	verb.creation	replicate
396	verb.change	subvert
398	noun.artifact	defense
399	verb.cognition	paralyze
400	noun.phenomenon	redlight
401	verb.perception	blink
402	noun.person	RikkiWildside
405	noun.communication	neon
407	noun.location	plaza
408	verb.competition	prowl
409	noun.artifact	club
411	noun.location	wildside
412	noun.location	underside
413	noun.person	player
416	verb.contact	hang
417	noun.act	glide
419	verb.motion	glide
420	noun.location	wheatfield
422	noun.location	Kiev
424	noun.artifact	Nightwingparafoil
425	noun.quantity	kilos
426	noun.artifact	radar
427	noun.artifact	jammer
428	noun.person	asshole
429	verb.possession	bum
430	noun.artifact	laser
435	noun.attribute	fortune
437	verb.emotion	need
438	verb.competition	aim
439	verb.emotion	love
440	noun.person	next
442	noun.artifact	Glocapital
443	verb.weather	flash
444	noun.group	GentlemanLoser
445	noun.artifact	emblem
446	noun.artifact	sigil
448	noun.artifact	beacon
450	verb.motion	steerby
452	noun.act	light
453	verb.stative	bring
454	verb.competition	push
455	verb.social	makedo
457	verb.change	showup
463	noun.artifact	clock
464	verb.change	setfor
466	verb.cognition	calibrate
467	noun.attribute	adrenaline
468	noun.attribute	calm
469	noun.object	lump
471	verb.communication	click
472	noun.act	bundle
474	verb.contact	setup
476	verb.motion	goout
478	noun.object	skylight
479	verb.contact	shadow
480	noun.artifact	dome
481	noun.state	humidity
482	noun.shape	border
483	noun.communication	scar
484	noun.substance	nail
485	noun.shape	oblong
486	noun.substance	lacquer
487	noun.attribute	shade
488	noun.artifact	laminate
489	verb.contact	sheathe
490	noun.artifact	nail
491	verb.contact	trace
492	noun.artifact	weld
494	noun.body	elbowjoint
495	verb.contact	knuckle
497	verb.contact	brush
498	noun.artifact	feedbackpad
499	verb.weather	rain
500	noun.event	raindrop
501	verb.motion	drum
503	noun.substance	ice
504	verb.motion	flick
506	noun.artifact	prefabbuilding
507	verb.social	try
508	verb.cognition	remind
509	noun.group	chrome
510	verb.contact	interface
514	verb.creation	generate
515	noun.cognition	coredatum
516	verb.emotion	takefor
517	noun.group	coredatum
518	verb.stative	tower
519	noun.artifact	freighttrain
520	noun.attribute	primary
521	noun.shape	horizontal
522	noun.artifact	nursery
523	noun.communication	blue
524	noun.attribute	pink
525	verb.perception	shadow
526	noun.cognition	heart
528	verb.motion	getback
529	noun.act	shopping
530	noun.artifact	pattern
533	noun.artifact	computerdefense
535	verb.contact	weave
536	noun.artifact	artdeco
537	noun.artifact	prayer
538	noun.artifact	rug
539	verb.contact	off
541	noun.artifact	workbench
543	noun.artifact	makeup
544	noun.animal	cowboy
546	noun.communication	program
548	noun.artifact	jaw
549	noun.person	jeweler
550	noun.artifact	vise
551	noun.artifact	audioturntable
552	noun.artifact	discrecord
555	noun.artifact	dustcover
556	noun.quantity	centimeter
557	verb.change	swinging
558	noun.artifact	turntable
560	noun.artifact	lead
562	noun.artifact	scope
563	noun.act	magnification
564	noun.act	check
565	noun.artifact	lazer
566	verb.motion	scale
567	noun.cognition	sensor
568	noun.communication	input
569	noun.quantity	kilo
571	noun.artifact	trailer
572	verb.social	crack
574	noun.communication	tap
575	verb.social	rundown
576	noun.communication	lexicondisc
577	verb.communication	translate
578	noun.communication	russian
579	noun.communication	alphanumeric
581	noun.communication	gap
582	noun.communication	lexicon
583	verb.motion	runup
584	noun.communication	acronym
585	noun.communication	readout
587	noun.person	punk
588	noun.artifact	switchblade
589	verb.motion	comehome
590	noun.artifact	neutronbomb
591	verb.creation	screw
593	noun.artifact	streetfight
595	noun.group	league
596	noun.person	buyer
597	noun.communication	Porsche
598	noun.communication	belgian
600	verb.social	move
602	noun.person	mugger
603	noun.person	burb
604	verb.possession	knockover
605	noun.artifact	connection
609	noun.artifact	icebreaker
612	verb.body	fallasleep
613	noun.quantity	bag
614	noun.food	takeout
615	verb.contact	holdout
616	verb.creation	dreamof
618	noun.object	glitch
620	noun.substance	subprograms
621	noun.artifact	functionkey
623	noun.body	right
627	verb.stative	gowith
628	noun.artifact	jump
629	noun.artifact	cape
630	verb.body	shave
632	verb.body	convulse
633	noun.substance	myoelectric
636	verb.motion	spill
637	noun.plant	sprout
638	noun.food	slice
639	verb.contact	lockon
640	noun.artifact	rentalsystem
641	noun.location	Mombasa
642	noun.artifact	algeriancomsat
645	verb.emotion	blowaway
648	verb.social	slum
650	verb.cognition	aspire
651	verb.stative	frame
652	verb.cognition	remember
653	noun.process	metabolism
655	noun.substance	serum
656	noun.body	hormone
657	noun.person	customer
658	noun.person	boy
660	noun.state	goodstanding
661	noun.group	subsidiary
662	verb.change	gottenstart
664	verb.possession	proscribe
665	noun.substance	hormone
666	noun.group	House
667	noun.group	BlueLights
668	noun.person	Quine
669	verb.possession	dump
670	verb.communication	talk
671	noun.person	loser
672	verb.contact	shrug
673	noun.person	BlackMyron
674	noun.person	CrowJane
675	noun.person	Jane
676	noun.group	sexline
677	noun.person	Myron
679	noun.possession	interest
684	verb.cognition	see
685	verb.social	mess
687	verb.motion	walkaround
689	noun.artifact	swivelchair
690	verb.body	unzip
692	verb.body	scratch
693	noun.group	partnership
694	verb.social	dissolve
695	noun.cognition	shit
696	noun.location	Miami
697	verb.change	catch
698	noun.artifact	hopper
699	noun.location	MontegoBay
702	noun.artifact	keyboard
703	noun.act	prayer
705	verb.perception	shiver
706	verb.change	wake
707	noun.communication	animation
709	verb.motion	cutin
710	verb.motion	weave
712	noun.artifact	mandala
715	verb.change	slow
716	verb.change	resolve
717	noun.event	alternation
718	noun.attribute	configuration
719	verb.contact	cut
720	noun.object	squirt
721	noun.artifact	comsat
722	verb.possession	pay
724	noun.person	banker
725	noun.possession	bankbook
728	verb.stative	forget
729	verb.motion	click
735	noun.person	changer
737	verb.social	pretend
738	noun.person	friend
743	noun.artifact	rollercoaster
744	noun.artifact	shadowwall
745	noun.shape	space
746	noun.substance	blackice
747	noun.location	black
750	verb.perception	feedback
751	verb.emotion	eat
752	noun.location	insideout
753	noun.state	spasm
754	verb.motion	goon
755	verb.motion	diving
759	verb.emotion	brace
760	noun.act	stop
761	noun.state	sickness
762	noun.event	slacken
763	verb.contact	lookfor
765	noun.artifact	cafe
766	noun.body	suture
767	noun.body	fine
768	verb.stative	radiate
769	noun.body	socket
770	noun.communication	brochure
771	noun.person	TallyIsham
772	verb.body	smileup
773	noun.substance	photograph
774	noun.person	girl
775	noun.body	eye
776	noun.artifact	simstimdeck
777	verb.contact	fix
779	noun.artifact	contactband
782	noun.artifact	sensorium
783	noun.location	simstim
784	noun.event	stimuli
785	noun.cognition	part
786	verb.communication	perceive
788	noun.person	tally
789	noun.artifact	effectplane
790	noun.location	Arizonamesa
792	verb.possession	dive
793	noun.location	TrukIslandpreserve
795	verb.consumption	partie
796	noun.location	greekisland
797	noun.state	purity
798	noun.object	seaport
800	noun.attribute	color
801	noun.body	cheekbone
804	verb.possession	covet
806	verb.communication	laugh
807	noun.artifact	headshot
809	verb.change	lineup
810	noun.body	cornea
811	noun.person	WilliamGibson
812	noun.communication	ikon
814	noun.person	tiger
816	noun.person	Sendais
817	verb.body	help
818	noun.communication	look
819	noun.artifact	boutique
820	noun.person	runner
821	verb.change	take
822	verb.communication	pretend
823	noun.substance	peripheral
824	verb.change	heal
825	verb.contact	reachfor
826	noun.artifact	espresso
827	noun.state	defect
828	noun.state	hassle
830	noun.location	Hollywood
831	noun.location	ChibaCity
835	verb.cognition	know
836	verb.motion	getup
839	verb.change	deteriorate
841	noun.location	England
842	noun.location	Denmark
844	noun.communication	lecture
845	verb.contact	steal
846	noun.artifact	croissant
847	verb.contact	nibble
848	noun.artifact	horn
849	noun.location	burnChrome
850	noun.person	adviser
853	noun.group	Sendais
854	verb.possession	replace
856	noun.quantity	lot
858	noun.act	gamble
859	noun.person	ikon
860	verb.motion	goupto
862	verb.social	sittight
863	verb.perception	hear
864	noun.state	craziness
865	verb.consumption	drink
866	noun.food	croissant
868	noun.possession	pay
869	noun.communication	business
871	noun.attribute	burn
874	verb.communication	getaway
875	noun.communication	phonecall
876	verb.stative	breed
878	noun.group	economy
880	verb.communication	advertise
881	noun.communication	laundry
882	verb.change	dry
883	verb.change	clean
884	noun.possession	cash
885	noun.act	waste
888	noun.artifact	blackbox
889	noun.artifact	rig
892	noun.person	Macao
894	noun.group	LongHum
895	noun.person	stockbroker
897	noun.act	nukeout
899	noun.act	shuttle
900	noun.act	run
901	noun.possession	capital
903	verb.social	bum
905	noun.location	BlueLights
906	noun.artifact	joint
907	noun.motive	excuse
908	verb.motion	goafter
912	verb.contact	plug
914	noun.group	mat
916	noun.person	russian
918	noun.act	kill
919	verb.communication	rewrite
920	noun.person	streetfighter
921	noun.person	mile
923	verb.communication	phone
924	verb.contact	grab
925	noun.artifact	tubeout
927	verb.cognition	thinkabout
929	verb.possession	spend
930	verb.possession	buy
931	noun.artifact	scene
933	verb.social	makeit
935	verb.emotion	miss
936	noun.location	Houseof
937	noun.act	BlueLights
938	verb.possession	miss
939	verb.body	get
940	verb.contact	hit
941	noun.person	vasopressin
942	noun.artifact	inhaler
943	noun.act	squeeze
944	noun.artifact	booze
945	noun.substance	vasopressin
946	noun.cognition	pharmacology
948	noun.state	amnesia
949	noun.attribute	use
950	noun.event	replay
951	verb.competition	gun
952	noun.act	ecstasy
953	verb.motion	walkaway
954	verb.cognition	decide
955	verb.communication	hush
956	verb.motion	trickle
959	noun.act	roll
961	noun.attribute	look
962	verb.motion	gothere
963	noun.communication	crack
964	noun.person	barman
965	noun.person	necrophiliac
966	verb.social	godown
967	noun.person	WarHero
968	verb.change	goout
969	noun.artifact	sleepingmodule
971	noun.substance	foam
972	noun.artifact	slab
973	verb.body	cry
976	verb.contact	shre
977	noun.event	whirlwind
978	noun.artifact	razor
980	verb.motion	fallaway
982	noun.communication	lightyear
983	noun.substance	void
984	verb.change	bum
987	noun.object	tower
988	verb.change	blotout
989	noun.artifact	playroom
993	noun.attribute	coldheart
994	noun.act	squirt
995	noun.communication	transmission
997	noun.event	pulse
998	verb.motion	shoot
1002	verb.social	struggle
1003	noun.attribute	shadow
1004	verb.change	twitch
1005	verb.contact	fold
1006	noun.artifact	origami
1008	verb.perception	smell
1011	verb.communication	scream
1013	noun.act	tear
1015	noun.process	burn
1019	noun.possession	Zurich
1020	noun.location	world
1021	noun.person	charity
1022	noun.relation	percent
1023	noun.location	LongHum
1024	noun.artifact	setup
1025	noun.location	Macao
1027	verb.contact	kick
1028	noun.possession	exchange
1029	noun.possession	account
1030	verb.communication	open
1031	verb.contact	pileup
1034	verb.communication	blow
1035	noun.communication	codephrase
1037	verb.motion	goto
1039	verb.motion	hangout
1043	noun.location	side
1044	noun.person	employee
1045	noun.possession	security
1046	verb.stative	be
1048	noun.artifact	alarm
1049	verb.change	gooff
1051	verb.stative	goon
1053	noun.possession	estate
1054	noun.artifact	van
1059	verb.contact	rub
1062	verb.communication	willing
1064	noun.object	geodesic
1067	verb.contact	slit
1070	verb.contact	hunt
1071	verb.emotion	holdback
1075	noun.phenomenon	smudge
1076	noun.substance	fleshtone
1077	noun.artifact	paintstick
1078	verb.change	burn
1080	noun.location	blue
1082	noun.attribute	blue
1083	noun.attribute	trademarkblue
1084	noun.person	ZEISSIKON
1085	verb.contact	ring
1086	noun.artifact	iris
1087	noun.artifact	capital
1088	noun.artifact	fleck
1089	noun.attribute	gold
1091	noun.body	bruise
1092	noun.state	scar
1093	verb.possession	make
1095	verb.social	pulldown
1096	noun.possession	score
1102	verb.contact	kiss
1103	verb.contact	messup
1107	noun.event	stop
1109	verb.motion	slump
1111	noun.group	WilliamGibson
1113	noun.artifact	string
1114	noun.quantity	zero
1116	noun.time	nightfall
1117	verb.communication	checkout
1118	verb.emotion	anxious
1121	noun.person	BlueLights
1122	noun.time	shift
1123	noun.cognition	approximation
1124	noun.body	reflex
1125	verb.social	takecare
1127	verb.communication	complain
1128	verb.emotion	fake
1129	noun.act	orgasms
1130	noun.attribute	flare
1132	verb.consumption	need
1134	noun.body	neuroelectronic
1135	verb.communication	enable
1136	verb.communication	punch
1137	noun.artifact	airline
1138	noun.communication	realname
1139	noun.communication	flightnumber
1140	verb.communication	change
1143	verb.contact	thumb
1144	noun.artifact	creditcard
1146	noun.communication	IDcode
1147	noun.person	distant
1148	noun.communication	hum
1149	noun.communication	creditrecord
1150	noun.communication	returnticket
1151	verb.possession	cash
1152	noun.possession	fare
1153	noun.artifact	poster
1154	verb.perception	stareback
1156	verb.communication	wave
1157	noun.feeling	goodbye
1158	noun.person	Hiro
1159	verb.contact	oscillate
1161	noun.artifact	mesh
1162	noun.artifact	hammock
1164	noun.person	feedback
1165	verb.stative	rage
1166	noun.substance	bonephone
1167	noun.artifact	implant
1168	noun.artifact	center
1169	verb.contact	cutthrough
1170	noun.person	surrogate
1171	noun.artifact	barbiturate
1172	noun.state	fog
1173	noun.communication	biography
1174	verb.motion	loom
1175	verb.body	do
1176	verb.body	wake
1178	verb.perception	crackling
1179	noun.phenomenon	conduction
1180	noun.artifact	implant.-
1181	noun.person	Toby
1184	noun.person	Dr.Nagashima
1185	noun.communication	litany
1187	noun.quantity	millivolt
1188	noun.event	spike
1189	noun.body	temporal
1190	verb.contact	mix
1191	noun.artifact	downer
1193	verb.motion	collapse
1195	noun.person	air-
1196	verb.creation	saw
1197	noun.person	LeniHofmannstahl
1199	noun.person	physicalchemist
1200	noun.location	FederalRepublic
1201	noun.location	Germany
1202	verb.communication	quit
1203	verb.body	groan
1204	noun.artifact	meatshot
1205	noun.person	workaday
1206	noun.communication	terminology
1207	noun.act	telemetry
1208	noun.quantity	1
1209	noun.state	status
1212	verb.cognition	sync
1213	noun.location	leave
1214	noun.artifact	leave
1215	noun.artifact	agriculturalcanister
1216	verb.change	rip
1217	noun.artifact	amitriptyline
1218	noun.artifact	aerobic
1219	noun.act	exercise
1220	verb.competition	counter
1221	noun.state	bout
1223	verb.social	getalong
1224	verb.communication	funny
1227	noun.artifact	dope
1228	noun.person	charmian
1229	noun.person	mom
1235	noun.person	TobyHalpert
1236	noun.location	place
1237	noun.location	Universe
1238	noun.person	egotist
1239	noun.artifact	lumiary
1240	noun.body	orb
1241	noun.location	orbit
1242	noun.object	Mars
1243	noun.person	tsiolkovsky
1244	noun.person	worker
1245	noun.location	Paradise
1246	noun.location	L-5
1247	noun.communication	tsiolkovsky
1248	noun.location	liberationpoint
1249	noun.phenomenon	gravity
1250	noun.artifact	lightsail
1251	noun.quantity	ton
1252	noun.substance	aluminum
1253	verb.change	spin
1254	noun.shape	hexagon
1255	noun.quantity	kilometer
1256	noun.substance	sail
1257	verb.contact	tow
1259	noun.artifact	anchor
1260	verb.contact	tack
1261	noun.object	photon
1262	noun.artifact	highway
1263	noun.person	french
1264	noun.artifact	metro
1265	noun.artifact	subway
1266	noun.person	Russians
1268	noun.person	Americans
1269	noun.state	loneliness
1270	verb.communication	call
1271	noun.location	TovyevskiAnomalyCoordinates
1272	noun.person	Olga
1273	noun.person	OlgaTovyevski
1274	noun.person	PatronSaint
1276	noun.person	orderly
1277	noun.artifact	cubicle
1278	noun.artifact	remotecontrol
1279	verb.motion	strobe
1280	verb.communication	stutter
1281	noun.person	SaintOlga
1283	verb.contact	tapeup
1284	noun.artifact	bulkhead
1285	noun.quantity	dozen
1286	noun.communication	newsprint
1287	noun.communication	glossy
1288	noun.group	ourLadyofthehighway
1289	noun.person	LieutenantColonelOlgaTovyevski
1290	noun.group	rank
1291	verb.motion	route
1292	noun.location	Mars
1293	noun.artifact	Alyut
1294	noun.communication	modification
1295	noun.cognition	prototype
1296	noun.artifact	airscrubber
1297	verb.social	test
1298	noun.location	USSR
1299	noun.artifact	remote
1302	verb.communication	log
1303	noun.time	missiontime
1304	verb.social	makesure
1305	verb.contact	stick
1306	noun.artifact	flareexperiment
1307	noun.act	tailend
1308	noun.location	australian
1310	noun.artifact	timer
1311	noun.artifact	button
1312	noun.artifact	cameo
1313	noun.location	space
1314	noun.person	cosmonaut
1315	noun.group	gender
1316	noun.artifact	chronometer
1317	verb.motion	poise
1319	verb.creation	trigger
1320	noun.artifact	flare
1321	noun.person	ColonelTovyevski
1322	verb.motion	near
1323	noun.location	highway
1326	noun.event	trigger
1327	noun.group	sequence
1328	noun.person	Alyut
1330	noun.process	flare
1331	noun.event	burst
1332	noun.phenomenon	radioenergy
1333	noun.time	megahertz
1334	noun.communication	broadcast
1336	noun.substance	hydrogenatom
1337	noun.artifact	radiotelescope
1338	verb.possession	relay
1339	noun.artifact	comsats
1340	noun.location	ural
1341	noun.location	NewSouthWales
1343	noun.cognition	afterimage
1347	noun.artifact	screen
1350	noun.person	georgian
1351	verb.contact	bit
1352	noun.communication	stem
1353	noun.artifact	meerschaum
1355	noun.person	physicist
1356	verb.contact	slam
1358	noun.artifact	pinball
1359	noun.person	finalist
1360	verb.social	protest
1361	noun.group	tilt
1362	noun.location	Heaven
1363	noun.person	Hollywood
1364	noun.location	Bauhaus
1365	noun.artifact	mummy
1366	noun.artifact	sarcophagus
1367	noun.substance	acrylic
1368	noun.artifact	lid
1369	noun.artifact	console
1370	noun.communication	textbook
1371	noun.communication	illustration
1372	noun.person	clown
1373	verb.motion	mill
1375	noun.artifact	cowboyshirt
1376	noun.person	UCLA
1377	noun.shape	figure
1378	verb.stative	cascade
1381	noun.act	rotation
1382	noun.artifact	dormitory
1383	noun.artifact	cafeteria
1384	noun.artifact	air-lockdeck
1385	verb.contact	haul
1386	noun.act	communication
1387	noun.group	ward
1389	noun.attribute	greenheart
1391	noun.quantity	stream
1392	noun.communication	flood
1393	noun.communication	rumor
1395	verb.motion	snake
1397	noun.body	sinew
1398	verb.contact	spasm
1399	verb.contact	crush
1401	verb.motion	movein
1402	verb.body	putup
1403	noun.communication	icon
1405	verb.contact	patch
1406	noun.communication	translator
1408	noun.communication	german
1409	noun.communication	modulation
1410	noun.state	static
1411	noun.person	Hillary
1413	noun.person	BBC
1414	noun.substance	icecrystal
1415	noun.communication	french
1417	noun.person	Hofmannstahl
1420	verb.communication	speak
1421	noun.cognition	complex
1422	noun.event	sizzle
1426	noun.state	elation
1427	noun.phenomenon	adrenaline
1428	noun.event	rush
1429	noun.artifact	wisp
1432	noun.person	surfer
1433	noun.artifact	jumpsuit
1434	noun.substance	pheromone
1435	noun.artifact	sleeve
1436	verb.contact	plaster
1437	noun.artifact	patch
1438	noun.communication	logo
1439	noun.artifact	backer
1440	noun.person	backer
1441	noun.attribute	trademark
1442	verb.contact	stitch
1443	noun.person	HALPERT
1444	noun.person	TOBY
1445	noun.act	rendezvous
1447	noun.communication	capital
1449	noun.attribute	goodlook
1450	verb.cognition	associate
1452	noun.group	CIA
1453	noun.person	NEVSKY
1454	noun.communication	Cyrillic
1455	noun.location	KGB
1456	verb.stative	confer
1458	noun.location	Moscow
1459	noun.person	ticker
1460	verb.contact	tuck
1461	noun.artifact	microsyringe
1462	verb.contact	load
1463	noun.substance	euphorohallucinogen
1464	verb.motion	tick
1465	noun.artifact	surrogate
1466	noun.artifact	pad
1467	noun.artifact	handgun
1468	noun.artifact	target
1469	noun.artifact	vial
1470	noun.artifact	opium
1471	verb.contact	chain
1472	noun.artifact	tick
1473	noun.artifact	cocaine
1476	verb.change	finish
1480	noun.feeling	awkwardness
1481	verb.change	deepen
1483	noun.act	thumbup
1484	noun.artifact	Bauhaus
1485	noun.artifact	coffin
1487	verb.weather	hissdown
1488	noun.animal	giant
1489	noun.artifact	faceplate
1492	verb.stative	take
1494	noun.person	hitchhiker
1495	noun.body	thumb
1496	noun.attribute	wavelength
1497	verb.stative	makeit
1498	noun.group	atTyuratam
1499	noun.location	Kazakhstan
1500	noun.time	gray
1502	noun.artifact	magnetictape
1503	noun.act	technology
1505	verb.perception	butt
1506	verb.contact	splice
1507	noun.artifact	footage
1510	verb.motion	blip
1511	noun.person	amateur
1512	noun.person	volunteer
1513	noun.person	Kurtz
1514	noun.artifact	worksuit
1515	verb.motion	climbthrough
1517	noun.artifact	hatch
1518	noun.location	eastgerman
1519	noun.person	specialist
1520	noun.act	spacemedicine
1521	noun.group	american
1522	noun.artifact	cigarette
1523	noun.attribute	vice
1524	verb.motion	negotiate
1525	noun.artifact	airlock
1526	noun.substance	airscrubbercore
1527	verb.body	chinned
1528	noun.quantity	globule
1529	noun.body	vomit
1530	verb.motion	swinging
1531	verb.motion	swirl
1532	noun.phenomenon	wake
1533	noun.artifact	crawlway
1534	noun.artifact	commandmodule
1536	noun.animal	seaweed
