	supersense_category	text
878	verb.contact	sealoff
879	verb.contact	reach
880	noun.cognition	awareness
881	verb.stative	am
882	verb.motion	pace
883	verb.creation	makeup
884	noun.communication	encyclopedia
885	verb.communication	list
886	noun.communication	a.
887	noun.person	Apple
888	noun.substance	acksetron
889	noun.group	tomatoaspic
890	noun.communication	advertising
891	noun.cognition	category
892	noun.artifact	livingroom
893	verb.motion	spillin
894	verb.contact	bent
895	noun.person	maintenanceman
896	verb.motion	standback
898	verb.emotion	dither
899	verb.possession	replace
900	verb.communication	thank
904	verb.change	start
905	verb.cognition	assimilate
907	verb.body	compose
908	verb.communication	plunge
909	verb.body	passout
911	noun.group	maintenance
913	verb.body	sniffle
917	noun.artifact	transport
918	noun.act	insertion
919	verb.change	shutdown
920	verb.social	fiddlearound
926	noun.possession	installment
927	verb.body	rub
928	verb.contact	shave
929	noun.person	primarytechnician
930	verb.perception	will
931	verb.motion	jam
932	verb.cognition	occur
935	noun.artifact	photocell
936	noun.attribute	impedance
937	noun.body	neuro
938	verb.communication	mean
942	noun.phenomenon	voltage
943	verb.change	fuse
944	noun.quantity	load
945	noun.quantity	millionth
946	noun.quantity	watt
947	noun.substance	cesium
948	noun.quantity	sixteenth
949	noun.event	combination
950	noun.act	punch-out
951	noun.artifact	output
953	verb.communication	detail
955	verb.perception	experience
956	noun.state	entirety
957	noun.communication	symphonicscore
958	verb.cognition	enter
959	verb.perception	sound
960	noun.cognition	symphony
963	verb.consumption	like
965	noun.artifact	kitchentable
971	verb.communication	grate
972	verb.creation	control
974	noun.act	sequence
975	verb.contact	push
976	verb.possession	getout
977	verb.contact	seat
978	verb.stative	produce
979	verb.possession	transfer
980	noun.artifact	refrigerator
982	noun.artifact	supermarket
983	verb.possession	distribute
984	noun.possession	cashregister
985	verb.contact	joinback
986	noun.communication	videotape
987	verb.contact	prick
989	verb.change	emerge
990	noun.communication	microtool
994	verb.communication	extrapolate
995	verb.change	showup
997	noun.artifact	wristwatch
998	noun.relation	third
999	noun.group	flock
1000	noun.animal	duck
1001	verb.perception	quack
1002	noun.animal	feather
1003	noun.person	duck
1005	verb.cognition	marvel
1007	noun.location	parkbench
1009	noun.body	denture
1015	noun.shape	hole
1018	noun.cognition	stimulus
1019	noun.cognition	factor
1021	verb.change	glazedover
1027	verb.change	falter
1030	verb.communication	reportback
1031	verb.change	head
1032	verb.social	endanger
1034	noun.state	gloom
1037	verb.contact	unplug
1039	verb.communication	boildown
1043	noun.artifact	robot
1044	noun.event	circuit
1047	noun.artifact	microglove
1048	noun.artifact	assembly
1049	noun.artifact	cutblade
1052	noun.artifact	cutend
1053	noun.time	halfhour
1054	verb.perception	stare
1055	verb.body	cower
1057	verb.contact	reseat
1059	verb.communication	apologize
1060	verb.creation	imitate
1061	verb.body	palpitate
1062	verb.motion	goaway
1063	verb.motion	back
1065	noun.artifact	end
1067	verb.perception	peer
1068	noun.artifact	photoelectric
1069	verb.perception	gleam
1072	noun.animal	zebra
1073	verb.communication	lap
1076	noun.plant	squib
1077	noun.act	flood
1078	noun.state	drought
1079	noun.food	butter
1080	noun.feeling	odor
1082	noun.substance	poison
1083	noun.food	lemon
1084	verb.change	drown
1085	verb.communication	din
1086	verb.perception	squeak
1087	noun.object	body
1089	noun.artifact	lab
1091	verb.communication	bringforth
1092	verb.perception	lighting
1093	verb.stative	scorch
1094	verb.contact	frozen
1097	noun.person	roby
1098	verb.motion	sinkdown
1103	noun.cognition	stimulus-factor
1105	verb.contact	plug
1107	verb.contact	putthrough
1114	verb.body	wearout
1117	verb.body	tremble
1118	noun.artifact	roby
1122	verb.motion	blow
1124	noun.location	Hanoi
1125	verb.competition	face
1126	noun.person	peddler
1127	noun.person	passer
1128	noun.person	Chien
1129	noun.group	MinistryofCulturalArtifacts
1130	verb.creation	crop
1131	verb.contact	deflect
1132	noun.artifact	scooter
1133	noun.artifact	motorcycle
1135	noun.person	comrade
1137	verb.motion	pursue
1138	noun.substance	helium
1139	verb.motion	scuttle
1140	noun.group	Chien
1141	noun.cognition	remedy
1142	verb.cognition	complete
1143	noun.communication	testimonial
1144	noun.person	user
1145	verb.social	assist
1147	noun.group	CentralCommittee
1148	noun.attribute	opportunism
1149	verb.cognition	testing
1150	verb.body	cure
1151	noun.state	radiationsickness
1153	noun.state	sexualprowess
1154	noun.event	progression
1155	noun.state	melanomae
1156	noun.state	cancer
1157	verb.contact	lift
1158	noun.artifact	aluminumcan
1159	noun.artifact	jar
1161	noun.person	rival
1162	verb.social	usurp
1163	verb.possession	purvey
1164	noun.artifact	ointment
1165	noun.substance	balm
1167	noun.possession	dollar
1168	noun.artifact	exchange
1169	noun.possession	tissue
1170	verb.stative	goto
1173	noun.person	superior
1174	noun.group	Ministry
1175	noun.communication	notation
1176	noun.person	subordinate
1181	noun.feeling	indignation
1182	noun.communication	because
1184	noun.person	warveteran
1185	noun.group	ColossalFinal
1186	noun.group	UnitedFront
1187	noun.group	imperialist
1188	noun.attribute	extremity
1189	noun.act	battle
1190	noun.artifact	ware
1191	noun.person	veteran
1192	noun.state	fine
1193	noun.time	jail
1194	noun.act	sentence
1196	verb.motion	nod
1197	noun.artifact	hovercab
1198	noun.artifact	herbalremedy
1199	noun.artifact	parcel
1202	noun.artifact	spermatocide
1203	verb.cognition	qualifyfor
1205	noun.artifact	billfold
1206	noun.possession	inflationary
1207	noun.person	governmentservant
1210	verb.emotion	appal
1213	verb.communication	excuse
1214	noun.person	healer
1215	verb.cognition	take
1217	noun.location	west
1218	noun.location	steer
1219	noun.act	roping
1220	noun.act	indulgence
1221	noun.group	Party
1223	verb.contact	select
1224	noun.possession	tradedollar
1225	noun.communication	guarantee
1226	noun.relation	portion
1227	noun.possession	refund
1229	verb.emotion	fatigue
1230	noun.communication	monologue
1232	noun.communication	sermon
1234	verb.motion	strideoff
1235	noun.person	ball
1236	noun.possession	racket
1237	noun.communication	ordinance
1238	verb.social	setup
1239	noun.person	vet
1240	noun.person	raptor
1241	noun.communication	packet
1242	noun.group	PostwarMinistryofCulturalArtifacts
1243	noun.time	workday
1244	noun.person	male
1245	noun.person	caucasian
1247	noun.person	Ssu-MaTso-pin
1248	noun.person	tso-pin
1249	noun.communication	cantonese
1250	noun.communication	dialect
1251	noun.person	Mr.TungChien
1252	noun.person	Mr.DariusPethel
1253	noun.person	Mr.Pethel
1254	noun.person	headmaster
1255	noun.group	establishment
1256	noun.location	SanFernando
1258	verb.stative	support
1259	verb.social	unseat
1260	noun.person	imperialist
1261	noun.group	bloc
1262	noun.group	country
1263	noun.state	post
1264	noun.substance	tea
1266	noun.artifact	hibachi
1267	noun.substance	ceramic
1268	verb.communication	burble
1269	noun.person	MissHsi
1270	verb.cognition	layout
1271	noun.person	ComradePethel
1274	verb.cognition	trust
1276	noun.communication	philosophy
1277	verb.communication	maintain
1278	noun.group	youth
1279	noun.group	segment
1280	noun.group	U.S.
1281	noun.location	Sacramento
1282	verb.cognition	estimate
1283	noun.quantity	tenthousand
1284	noun.act	enrollment
1285	verb.cognition	select
1288	verb.change	boiling
1292	noun.location	Lipton
1294	noun.person	althoughMr.Pethel
1295	verb.social	supervise
1296	verb.change	setup
1297	noun.act	course
1298	noun.cognition	instruction
1299	noun.communication	examinationpaper
1300	noun.person	Mr.Chien
1302	verb.consumption	pour
1304	noun.person	Pethel
1306	noun.person	Tso-
1307	noun.artifact	pin
1308	verb.competition	lose
1310	verb.communication	dissemble
1312	verb.communication	turn
1314	noun.act	lie
1317	verb.communication	mouth
1318	noun.communication	slogan
1319	noun.communication	testpaper
1320	noun.quantity	thousand
1321	verb.motion	passthrough
1324	verb.communication	envision
1325	verb.contact	blink
1326	noun.attribute	vulgarity
1328	noun.group	staff
1329	verb.communication	requisition
1331	noun.possession	budget
1332	noun.person	absoluteBenefactor
1335	noun.communication	hysteria
1336	verb.change	wither
1337	noun.state	submission
1338	verb.change	underline
1340	noun.communication	d
1343	noun.person	benefactor
1344	noun.body	homily
1345	verb.competition	fight
1346	verb.communication	intone
1348	verb.communication	conceal
1350	noun.artifact	computer
1352	noun.attribute	correctness
1353	noun.attribute	incorrectness
1354	noun.person	DariusPethel
1355	verb.perception	scrutinize
1357	noun.communication	examinationessay
1360	noun.body	gaze
1362	noun.person	vice-councilor
1364	noun.person	hisgreatness
1366	verb.communication	confer
1367	noun.person	Kisterigian
1368	noun.communication	medal
1370	noun.state	unison
1374	verb.motion	vibrate
1376	noun.person	progressive
1378	noun.communication	conviction
1379	noun.person	stilyagi
1381	noun.person	crypto
1383	noun.person	doctrineof
1384	noun.group	poetryof
1385	noun.person	BAHAAD-DINzuhayrofthirteenth
1386	noun.person	CENTURYARABIA
1388	noun.communication	quatrain
1389	noun.communication	death
1390	noun.time	adult
1391	noun.location	level
1392	verb.social	hunt
1396	verb.cognition	reread
1398	noun.attribute	wisdom
1400	noun.time	live
1402	verb.stative	survive
1404	verb.communication	satirize
1405	noun.communication	promulgation
1406	noun.person	cagily
1408	verb.perception	inspect
1410	noun.person	Bahaad-DinZuhayr
1411	noun.communication	anthology
1412	noun.communication	rehash
1413	noun.communication	cliche
1414	verb.change	snuffout
1415	noun.attribute	aspiration
1418	noun.location	UnitedStates
1419	verb.social	persevere
1420	verb.change	wipeout
1421	noun.person	remnant
1422	noun.location	Catskills
1423	noun.location	Tennessee
1424	noun.location	redhills
1425	noun.location	Oklahoma
1428	noun.act	leisure
1430	noun.artifact	condominium
1431	verb.communication	adjudge
1432	verb.communication	bow
1433	noun.communication	insult
1437	verb.social	perform
1439	noun.person	Mikoyan
1440	verb.communication	approve
1441	noun.location	you
1444	noun.person	caucasianPethel
1445	verb.possession	hand
1446	noun.food	hotpotato
1447	noun.group	CPU.S.A.
1448	noun.act	indoctrination
1449	noun.artifact	academy
1450	noun.group	yank
1451	noun.person	youth
1453	verb.motion	reach
1454	verb.communication	though
1457	noun.person	MarionCulper
1459	noun.communication	poetryclass
1460	noun.act	grain
1461	verb.change	straighten
1462	noun.artifact	easychair
1463	noun.location	CuestaRey
1464	noun.person	writer
1465	noun.person	MissCulper
1467	noun.person	JohnDryden
1468	noun.person	St.Cecilia
1469	noun.artifact	pageant
1470	verb.contact	devour
1471	noun.communication	trumpet
1472	verb.contact	untune
1474	noun.person	Dryden
1475	noun.group	capitalism
1476	noun.act	pageant
1477	verb.motion	leanover
1478	verb.contact	takehold
1479	verb.change	goout
1480	verb.contact	gropein
1481	noun.artifact	tvset
1484	noun.person	leader
1486	noun.location	Peking
1487	noun.state	poverty
1488	verb.change	flower
1490	noun.person	announcer
1491	noun.communication	groan
1493	noun.communication	bow
1496	noun.artifact	monitordevice
1497	verb.communication	narrate
1498	noun.group	secpol
1499	noun.group	securityPolice
1500	noun.communication	visage
1501	verb.perception	manifest
1502	noun.group	CPEast
1503	noun.person	ruler
1505	noun.person	blah
1506	verb.body	reseat
1513	verb.change	enrich
1514	noun.location	DemocraticEast
1515	noun.location	WestCoast
1516	noun.act	chore
1517	verb.communication	face
1519	noun.attribute	greatness
1521	noun.person	PartyLeader
1522	verb.communication	single
1523	noun.feeling	cynicism
1524	noun.location	Hanoitv
1525	verb.communication	require
1527	verb.cognition	mullover
1530	noun.act	lampoonery
1532	verb.contact	dump
1535	noun.communication	printword
1536	verb.contact	unfold
1537	verb.emotion	snare
1538	verb.social	fail
1541	verb.perception	drone
1542	noun.substance	snuff
1543	noun.artifact	grain
1544	noun.substance	gunpowder
1545	verb.contact	sendup
1546	noun.substance	aromatic
1547	verb.perception	tickle
1548	noun.person	prince
1550	noun.location	PekingU
1551	noun.cognition	fad
1552	noun.artifact	amatorymix
1553	noun.location	chungking
1555	noun.food	snuff
1556	noun.substance	essence
1557	noun.substance	organe
1558	noun.animal	baby
1559	noun.act	end
1560	noun.feeling	yearn
1561	noun.substance	nasal
1564	verb.contact	sniff
1565	verb.change	cure
1566	verb.change	fallinlove
1567	noun.state	background
1568	noun.artifact	doorbell
1569	noun.person	MouKuei
1570	noun.person	BuildingWarden
1573	noun.person	worker
1574	noun.artifact	televisionscreen
1575	verb.contact	fiddle
1576	noun.group	packet
1577	noun.artifact	ballpointpen
1578	noun.communication	hithertonow
1579	verb.body	repose
1582	noun.person	blink
1583	noun.person	kuei
1584	noun.person	theleader
1585	verb.social	rule
1587	verb.social	single
1588	noun.attribute	punctuality
1589	noun.person	warden
1590	noun.communication	reprimand
1591	verb.emotion	irk
1598	noun.relation	relevance
1600	verb.communication	expostulate
1602	noun.artifact	clipboardsheet
1603	verb.communication	comeup
1604	noun.attribute	slackness
1605	verb.change	originate
1606	noun.communication	automatictransmission
1607	noun.artifact	recordingcircuit
1610	verb.communication	fart
1613	noun.time	leisure
1614	verb.consumption	spend
1616	verb.cognition	weigh
1619	noun.communication	warnlight
1620	verb.change	winkon
1621	verb.change	shutoff
1623	noun.communication	tirade
1625	noun.communication	speech
1627	noun.event	din
1629	verb.social	bay
1630	verb.motion	hound
1631	noun.animal	mankind
1633	verb.social	prevent
1635	verb.change	shakeout
1636	noun.plant	granules
1637	verb.consumption	inhale
1639	noun.body	sinuscavity
1641	noun.act	inhalation
1643	verb.change	affect
1644	noun.body	cerebralcortex
1645	verb.motion	seat
1646	noun.artifact	tvscreen
1647	noun.artifact	speaker
1650	verb.motion	draw
1651	noun.body	sinus
1654	noun.substance	solidstate
1655	verb.contact	swivel
1656	noun.body	pseudopodia
1657	noun.artifact	squawk
1658	verb.communication	harangue
1661	noun.state	hallucination
1663	verb.possession	comeacross
1664	verb.social	make
1665	noun.artifact	vidphone
1668	noun.person	pusher
1669	noun.person	bureaucrat
1670	verb.motion	makeit
1671	verb.perception	witness
1672	noun.person	apparition
1674	noun.location	D.C.
1676	verb.body	relieve
1679	noun.artifact	monstrosity
1680	verb.perception	yammeraway
1682	noun.person	secpol
1683	verb.perception	rap
1685	verb.perception	seepback
1686	noun.body	podium
1687	verb.motion	squall
1689	noun.artifact	psychedelic
1690	verb.contact	absorb
1694	verb.communication	rattleout
1695	noun.time	evening
1696	noun.person	TungChien
1697	verb.body	inhale
1699	verb.communication	giveout
1701	verb.communication	start
1702	noun.artifact	streetintersection
1704	noun.person	comradeChien
1707	verb.cognition	analyze
1709	noun.communication	goodluck
1710	verb.communication	notify
1711	noun.state	complaint
1712	noun.group	bureaucracy
1716	noun.artifact	hallucinogen
1718	noun.substance	phenothiazine
1719	noun.quantity	dose
1720	noun.state	admixture
1721	verb.change	low
1722	noun.group	cache
1724	verb.motion	retreat
1725	noun.person	barbarian
1729	noun.artifact	view
1730	noun.location	Hanoihigh
1731	noun.artifact	conapt
1733	verb.perception	feel
1734	noun.state	trance
1736	noun.artifact	babushka
1737	noun.person	ComradeChien
1740	verb.perception	monitor
1742	noun.cognition	certitude
1747	verb.cognition	confuse
1749	noun.artifact	horror
1750	noun.object	lifeform
1751	noun.attribute	simulacrum
1755	noun.feeling	sweetness
1756	noun.state	agitation
1758	noun.communication	stelazine
1759	noun.possession	stelazine
1762	noun.group	category
1763	noun.person	bird
1764	noun.group	climbtube
1766	verb.communication	plungeon
