supersense_category	text
noun.person	professor
noun.communication	Tale
noun.person	Inspector Legrasse
noun.cognition	matters
noun.person	sculptor
noun.artifact	relief
noun.person	uncle
noun.communication	manuscript
verb.perception	appears
noun.person	Professor Angell
noun.attribute	outlines
noun.person	monstrosity
noun.communication	hieroglyphics
verb.communication	rendered
noun.person	Cthulhu
noun.communication	connexion
noun.state	wonder
noun.person	Wilcox
noun.communication	queries
noun.group	American Archaeological Society
verb.creation	held
noun.group	meeting
noun.location	St. Louis
noun.person	Professor Angell
verb.communication	befitted
noun.communication	attainments
noun.communication	deliberations
verb.communication	approached
noun.person	outsiders
noun.group	convocation
noun.communication	answering
noun.communication	problems
noun.communication	solution
noun.person	outsiders
noun.group	meeting
verb.motion	travelled
noun.location	New Orleans
noun.person	John Raymond Legrasse
noun.person	Inspector
noun.artifact	statuette
verb.cognition	fancied
noun.person	Inspector Legrasse
noun.cognition	archaeology
noun.feeling	enlightenment
verb.creation	prompted
noun.artifact	statuette
noun.artifact	idol
noun.feeling	fetish
verb.contact	captured
noun.object	swamps
noun.location	New Orleans
noun.act	raid
noun.group	meeting
noun.act	rites
verb.cognition	stumbled
noun.act	voodoo
noun.communication	tales
verb.possession	extorted
noun.cognition	lore
noun.person	Inspector Legrasse
noun.communication	offering
noun.communication	sight
verb.motion	crowding
verb.perception	gaze
noun.attribute	strangeness
noun.state	air
noun.state	antiquity
noun.location	vistas
noun.cognition	school
noun.animal	man
noun.animal	man
noun.quantity	inches
noun.artifact	workmanship
noun.attribute	outline
noun.animal	octopus
noun.body	feelers
noun.animal	hind
noun.body	fore
noun.state	malignancy
noun.attribute	corpulence
noun.cognition	characters
noun.body	seat
verb.stative	occupied
noun.animal	hind
noun.body	feelers
noun.body	fore paws
noun.person	croucher
verb.cognition	shew
noun.group	civilisation
noun.time	youth
noun.object	flecks
noun.body	striations
noun.cognition	geology
noun.object	mineralogy
noun.cognition	characters
noun.cognition	field
verb.cognition	form
noun.relation	kinship
verb.stative	belonged to
noun.cognition	conceptions
verb.communication	confessed
noun.feeling	defeat
noun.person	Inspector
noun.communication	touch
noun.cognition	familiarity
noun.communication	writing
noun.feeling	diffidence
noun.communication	trifle
noun.person	William Channing Webb
noun.person	Professor
noun.cognition	Anthropology
noun.group	Princeton University
noun.person	explorer
noun.person	Professor Webb
noun.act	tour
noun.location	Greenland
noun.location	Iceland
noun.act	search
noun.communication	Runic inscriptions
verb.perception	unearth
noun.location	West Greenland
noun.object	coast
noun.person	Esquimaux
verb.emotion	chilled
noun.attribute	bloodthirstiness
noun.attribute	repulsiveness
noun.person	Esquimaux
noun.feeling	shudders
noun.communication	aeons
noun.act	rites
noun.event	sacrifices
noun.act	rituals
noun.person	elder
noun.person	Professor Webb
noun.person	angekok
noun.person	wizard
noun.person	priest
verb.communication	expressing
noun.cognition	sounds
noun.attribute	significance
noun.feeling	fetish
verb.emotion	cherished
noun.animal	aurora
noun.object	cliffs
noun.person	professor
noun.attribute	bas
noun.artifact	relief
verb.stative	comprising
noun.communication	writing
noun.cognition	parallel
noun.group	meeting
noun.feeling	suspense
noun.feeling	astonishment
noun.person	Inspector Legrasse
verb.communication	ply
noun.person	informant
verb.cognition	copied
noun.object	swamp
noun.person	worshippers
verb.contact	arrested
verb.communication	besought
noun.person	professor
verb.change	taken
noun.person	diabolist Esquimaux
noun.act	comparison
noun.person	detective
noun.person	scientist
noun.communication	identity
noun.act	rituals
noun.state	worlds
noun.person	Esquimau
noun.person	wizards
noun.location	Louisiana
noun.person	swamp
noun.person	priests
noun.artifact	idols
noun.relation	divisions
noun.act	breaks
noun.communication	Ph’nglui
noun.person	Cthulhu R’lyeh wgah’nagl fhtagn
noun.person	Legrasse
noun.person	Professor Webb
noun.artifact	mongrel
noun.person	prisoners
noun.person	celebrants
noun.location	R’lyeh
noun.person	Cthulhu
verb.motion	waits
noun.communication	demand
noun.person	Inspector Legrasse
noun.cognition	experience
noun.location	swamp
noun.person	worshippers
noun.person	uncle
noun.attribute	significance
verb.stative	savoured
noun.person	myth
noun.person	theosophist
verb.communication	disclosed
noun.person	castes
noun.person	pariahs
noun.location	New Orleans
noun.communication	summons
noun.object	swamp
noun.object	lagoon
noun.person	squatters
noun.group	descendants
noun.person	Lafitte
noun.person	tom - tom
noun.person	dweller
verb.social	ventured
noun.communication	shouts
noun.communication	screams
noun.communication	chants
noun.process	flames
noun.person	messenger
verb.cognition	stand
verb.consumption	filling
noun.artifact	carriages
verb.motion	set out
noun.person	squatter
verb.motion	alighted
verb.motion	splashed on
noun.plant	cypress woods
noun.artifact	hanging
noun.plant	nooses
noun.plant	Spanish
noun.plant	moss
verb.contact	beset
verb.change	intensified
noun.location	habitation
noun.animal	fungous islet
noun.person	squatter
noun.group	huddle
noun.artifact	huts
verb.stative	hove
noun.person	dwellers
verb.motion	ran out
verb.motion	cluster
noun.artifact	lanterns
noun.person	tom - toms
verb.motion	filter
noun.plant	undergrowth
noun.location	avenues
noun.person	squatters
noun.person	Inspector Legrasse
verb.motion	plunged on
noun.object	arcades
verb.motion	trod
verb.stative	entered
noun.attribute	repute
noun.communication	legends
noun.attribute	sight
verb.contact	dwelt
noun.Tops	thing
noun.person	squatters
noun.person	devils
noun.artifact	caverns
verb.emotion	worship
noun.location	D’Iberville
noun.location	La Salle
noun.person	Indians
noun.animal	beasts
verb.perception	dream
verb.social	keep away
noun.act	orgy
noun.shape	fringe
noun.person	squatters
noun.communication	sounds
noun.event	incidents
noun.event	noises
noun.person	Legrasse
verb.motion	ploughed
noun.object	morass
noun.person	tom
noun.animal	toms
noun.cognition	qualities
noun.attribute	qualities
noun.animal	beasts
noun.state	licence
noun.attribute	heights
noun.communication	howls
verb.communication	squawking
noun.plant	ecstasies
verb.motion	reverberated
noun.event	tempests
noun.communication	ululation
noun.communication	chorus
verb.change	rise
noun.communication	sing
noun.communication	chant
noun.person	Cthulhu R’lyeh wgah’nagl fhtagn
noun.artifact	spectacle
noun.event	cacophony
noun.act	orgy
verb.change	deadened
noun.person	Legrasse
noun.object	swamp
noun.location	glade
noun.object	swamp
noun.quantity	acre
noun.attribute	extent
noun.state	abnormality
noun.person	Sime
noun.person	Angarola
verb.creation	paint
noun.animal	spawn
verb.communication	braying
verb.communication	bellowing
verb.contact	writhing
noun.event	bonfire
noun.attribute	rifts
noun.artifact	curtain
noun.substance	granite
noun.shape	monolith
noun.attribute	diminutiveness
noun.artifact	statuette
noun.artifact	scaffolds
noun.artifact	girt monolith
noun.person	squatters
noun.group	ring
noun.person	worshippers
noun.relation	direction
noun.location	ring of fire
noun.event	echoes
verb.creation	induced
noun.person	Spaniard
verb.emotion	fancy
noun.communication	legendry
noun.person	Joseph D. Galvez
verb.communication	questioned
verb.perception	hint
noun.event	beating
noun.cognition	pause
noun.act	Duty
noun.person	mongrel
noun.person	celebrants
verb.consumption	relied
noun.artifact	firearms
noun.act	rout
noun.event	blows
verb.competition	struck
noun.act	shots
noun.act	escapes
noun.person	Legrasse
noun.person	prisoners
noun.attribute	haste
noun.person	worshippers
verb.contact	lay dead
verb.motion	carried away
noun.artifact	stretchers
noun.person	prisoners
noun.object	monolith
verb.motion	carried back
noun.person	Legrasse
verb.cognition	Examined
noun.artifact	headquarters
noun.state	strain
noun.person	prisoners
noun.person	seamen
noun.quantity	sprinkling
noun.animal	negroes
noun.person	mulattoes
noun.location	West Indians
noun.person	Brava Portuguese
noun.location	Cape Verde Islands
verb.creation	gave
noun.event	colouring
noun.cognition	voodooism
noun.cognition	fetichism
noun.attribute	consistency
verb.social	worshipped
noun.time	ages
noun.body	dead
noun.communication	secrets
noun.communication	dreams
verb.creation	formed
noun.person	prisoners
noun.location	wastes
noun.person	priest Cthulhu
noun.artifact	dark house
noun.location	R’lyeh
noun.act	sway
verb.contact	liberate
verb.contact	extract
noun.person	Mankind
noun.object	earth
verb.motion	came out
noun.person	Great Old Ones
noun.person	idol
noun.person	Cthulhu
noun.communication	writing
noun.communication	chant
noun.location	R’lyeh dead Cthulhu
verb.emotion	waits
noun.person	prisoners
verb.contact	hanged
noun.act	institutions
noun.event	murders
verb.communication	averred
noun.act	killing
noun.person	Black Winged
noun.group	meeting
verb.contact	extract
noun.person	mestizo
noun.person	Castro
noun.person	leaders
noun.person	Old Castro
verb.emotion	remembered
noun.quantity	bits
verb.change	paled
noun.cognition	speculations
noun.person	theosophists
noun.animal	man
noun.person	aeons
verb.stative	ruled
noun.object	earth
noun.object	Remains
noun.person	Chinamen
noun.location	Cyclopean
noun.substance	stones
noun.object	Pacific
noun.time	epochs
verb.body	revive
noun.location	positions
noun.time	cycle
noun.person	Castro
noun.substance	matter
verb.motion	plunge
noun.location	R’lyeh
verb.change	preserved
noun.communication	spells
noun.person	Cthulhu
noun.event	resurrection
verb.contact	liberate
noun.communication	spells
verb.stative	preserved
verb.motion	rolled by
verb.communication	transmitted
noun.artifact	tombs
noun.event	infinities
noun.person	Great Old Ones
verb.communication	spoke to
verb.creation	moulding
noun.animal	mammals
noun.person	Castro
verb.creation	formed
noun.artifact	idols
noun.person	Great Ones
verb.communication	shewed
noun.artifact	idols
verb.contact	brought in
noun.plant	aeras
noun.person	priests
noun.person	Cthulhu
noun.artifact	tomb
verb.change	revive
noun.person	subjects
verb.change	resume
noun.act	rule
noun.group	Old Ones
noun.cognition	laws
noun.motive	morals
verb.body	revelling
noun.feeling	joy
noun.person	Old Ones
verb.communication	shout
verb.consumption	revel
noun.object	earth
verb.change	flame
noun.act	holocaust
noun.state	ecstasy
noun.act	rites
verb.communication	shadow
noun.communication	prophecy
noun.event	return
noun.person	Old Ones
noun.location	city R’lyeh
noun.object	monoliths
noun.artifact	sepulchres
verb.motion	sunk
verb.contact	cut off
noun.phenomenon	spectral intercourse
noun.person	priests
noun.object	earth
noun.person	spirits
noun.communication	rumours
verb.change	picked up
noun.object	caverns
noun.location	bottoms
noun.person	Castro
noun.communication	persuasion
verb.emotion	elicit
verb.communication	declined
noun.object	deserts
noun.location	Arabia
noun.communication	Irem
noun.location	City of Pillars
verb.perception	dreams
noun.person	witch
noun.person	Chinamen
noun.cognition	meanings
noun.communication	Necronomicon
noun.location	Arab Abdul Alhazred
noun.person	initiated
verb.social	chose
verb.communication	discussed
noun.communication	couplet
noun.communication	aeons
noun.person	Legrasse
noun.state	affiliations
noun.person	Castro
noun.group	authorities
noun.group	Tulane University
verb.contact	shed
noun.cognition	light
noun.person	detective
noun.group	authorities
noun.communication	Greenland tale
noun.person	Professor Webb
verb.emotion	aroused
noun.event	meeting
noun.person	Legrasse
verb.cognition	corroborated
noun.artifact	statuette
noun.communication	correspondence
verb.stative	occurs
noun.communication	publications
noun.attribute	Caution
noun.act	imposture
noun.person	Legrasse
verb.possession	lent
noun.person	Professor Webb
verb.change	remains
noun.act	possession
verb.perception	viewed
noun.person	Wilcox
noun.person	uncle
verb.emotion	excited
noun.person	sculptor
verb.change	arise
noun.person	Legrasse
verb.cognition	dreamed
noun.communication	hieroglyphics
noun.object	swamp
noun.communication	tablet
verb.communication	uttered
noun.person	Esquimau
noun.person	diabolists
noun.person	mongrel Louisianans
noun.person	Professor Angell
noun.cognition	investigation
noun.attribute	thoroughness
noun.person	Wilcox
verb.change	heighten
noun.person	uncle
noun.communication	narratives
noun.communication	cuttings
verb.possession	collected
noun.person	professor
noun.communication	corroboration
noun.cognition	rationalism
noun.attribute	extravagance
verb.communication	led
verb.possession	adopt
noun.cognition	conclusions
noun.communication	manuscript
verb.cognition	correlating
noun.communication	narrative
noun.person	Legrasse
noun.location	Providence
noun.person	sculptor
noun.communication	rebuke
verb.social	imposing
noun.person	Wilcox
noun.location	Fleur - de - Lys Building
noun.location	Thomas Street
noun.artifact	imitation
noun.artifact	architecture
verb.perception	flaunts
noun.artifact	steeple
noun.communication	specimens
verb.stative	scattered about
noun.cognition	genius
noun.person	decadents
verb.change	crystallised
verb.perception	mirror
noun.feeling	nightmares
noun.cognition	phantasies
noun.person	Arthur Machen
verb.creation	evokes
noun.communication	prose
noun.person	Clark Ashton Smith
noun.artifact	painting
noun.person	uncle
verb.emotion	excited
verb.perception	probing
verb.change	enlarge
verb.creation	draw
noun.attribute	sincerity
verb.cognition	mistake
verb.cognition	influenced
verb.communication	shewed
noun.shape	contours
noun.artifact	bas - relief
verb.emotion	raved
noun.state	delirium
noun.person	uncle
noun.communication	catechism
verb.communication	let fall
verb.social	strove
noun.attribute	vividness
noun.body	green stone
noun.cognition	geometry
noun.communication	calling
noun.person	Cthulhu fhtagn
noun.person	Cthulhu
noun.person	Cthulhu
noun.cognition	vigil
noun.location	R’lyeh
noun.cognition	beliefs
noun.person	Wilcox
noun.communication	reading
noun.act	virtue
noun.attribute	impressiveness
noun.artifact	relief
verb.cognition	beheld
noun.act	imposture
noun.person	uncle
noun.cognition	genius
noun.attribute	honesty
noun.act	leave
noun.event	success
verb.communication	promises
verb.emotion	fascinate
noun.cognition	visions
noun.state	fame
noun.cognition	researches
noun.phenomenon	connexions
noun.location	New Orleans
noun.person	Legrasse
verb.communication	questioned
noun.person	mongrel
noun.person	prisoners
verb.stative	survived
noun.person	Old Castro
noun.communication	confirmation
noun.person	uncle
verb.emotion	excited
noun.act	discovery
noun.person	anthropologist
noun.cognition	attitude
noun.state	materialism
verb.cognition	discounted
noun.attribute	perversity
noun.event	coincidence
noun.communication	dream notes
noun.artifact	cuttings
verb.possession	collected
noun.person	Professor Angell
verb.emotion	fear
noun.person	uncle
noun.location	waterfront
noun.person	mongrels
noun.act	push
noun.person	negro
noun.attribute	mixed blood
noun.act	pursuits
noun.location	Louisiana
noun.act	rites
noun.communication	beliefs
noun.person	Legrasse
noun.location	Norway
noun.person	uncle
verb.perception	encountering
noun.person	sculptor
noun.cognition	ears
noun.person	Professor Angell
verb.change	remains
noun.person	III
noun.location	Sea
noun.location	heaven
verb.cognition	wishes
verb.communication	grant
noun.state	boon
noun.event	effacing
verb.communication	stumbled
noun.act	round
noun.communication	journal
noun.location	Sydney Bulletin
noun.time	April
noun.act	issuance
noun.person	uncle
verb.cognition	given over
noun.act	inquiries
noun.person	Professor Angell
noun.group	Cthulhu Cult
noun.location	Paterson
noun.person	curator
noun.person	mineralogist
verb.cognition	Examining
noun.cognition	specimens
noun.substance	stones
noun.group	Sydney Bulletin
noun.cognition	affiliations
noun.person	Legrasse
noun.object	swamp
verb.change	clearing
verb.emotion	disappointed
noun.attribute	significance
noun.act	quest
noun.location	MYSTERY DERELICT
noun.location	SEA Vigilant Arrives
noun.location	New Zealand
noun.location	Tow
noun.person	Survivor
noun.person	Dead Man
noun.person	Desperate Battle
noun.location	Deaths
noun.location	Sea
noun.person	Seaman Refuses Particulars
noun.location	Morrison Co.
verb.motion	bound
noun.location	Valparaiso
noun.artifact	wharf
noun.location	Darling Harbour
verb.motion	tow
noun.artifact	steam yacht
noun.location	Alert
noun.location	Dunedin
noun.location	N. Z.
verb.motion	sighted
noun.time	April
noun.location	S. Latitude
noun.location	°
noun.location	W. Longitude
noun.location	°
noun.person	Vigilant
noun.location	Valparaiso
noun.time	March
noun.time	April
noun.event	monster
noun.time	April
noun.person	derelict
verb.perception	sighted
verb.motion	boarding
verb.stative	contain
noun.person	survivor
noun.artifact	idol
noun.quantity	foot
noun.artifact	authorities
noun.group	Sydney University
noun.group	Royal Society
noun.group	Museum
noun.location	College Street
verb.communication	profess
noun.communication	bafflement
noun.person	survivor
noun.artifact	shrine
verb.possession	recovering
noun.act	piracy
noun.act	slaughter
noun.person	Gustaf Johansen
noun.person	Norwegian
noun.artifact	schooner
noun.location	Auckland
noun.location	Callao
noun.time	February
noun.group	complement
noun.person	Emma
noun.time	March
noun.time	March
noun.location	S. Latitude
noun.location	W. Longitude
verb.motion	encountered
noun.location	Alert
noun.person	Kanakas
noun.person	castes
verb.motion	turn back
noun.person	Capt
noun.person	Collins
noun.artifact	schooner
noun.artifact	cannon
verb.stative	forming
noun.person	Emma
verb.stative	shewed
noun.person	survivor
noun.artifact	schooner
noun.act	shots
noun.location	waterline
verb.contact	heave alongside
verb.contact	grappling
noun.act	fighting
noun.quantity	Three
noun.person	Emma
noun.person	Capt
noun.person	Collins
noun.person	First Mate Green
noun.person	Second Mate Johansen
verb.motion	proceeded
verb.motion	navigate
verb.motion	going ahead
noun.act	ordering
verb.perception	appears
noun.location	part
noun.person	Johansen
noun.object	chasm
verb.contact	beaten
noun.event	storm
noun.time	April
noun.act	rescue
verb.perception	remembers
noun.person	William Briden
noun.person	Briden
verb.perception	reveals
noun.event	cause
noun.attribute	exposure
noun.communication	Cable
verb.communication	advices
noun.location	Dunedin
noun.person	Alert
noun.person	trader
noun.location	waterfront
noun.person	castes
verb.motion	set sail
noun.attribute	haste
noun.event	storm
noun.event	tremors
noun.time	March
noun.location	Auckland
noun.person	correspondent
noun.person	Emma
noun.person	Johansen
noun.group	admiralty
verb.creation	institute
noun.communication	inquiry
verb.creation	induce
noun.person	Johansen
noun.quantity	train
noun.communication	treasuries
noun.group	Cthulhu Cult
verb.creation	prompted
noun.person	Emma
verb.motion	sailed about
noun.artifact	idol
noun.person	Emma
noun.person	Johansen
noun.person	vice
noun.group	admiralty
verb.communication	brought out
noun.location	Dunedin
noun.relation	linkage
noun.communication	dates
noun.attribute	significance
noun.person	uncle
noun.time	March
noun.time	February
noun.event	earthquake
noun.event	storm
noun.location	Dunedin the Alert
verb.emotion	summoned
noun.person	poets
verb.perception	dream
noun.location	dank Cyclopean
noun.person	sculptor
verb.creation	moulded
noun.person	Cthulhu
noun.time	March
noun.person	Emma
noun.time	date
noun.attribute	vividness
noun.act	pursuit
noun.person	architect
noun.person	sculptor
verb.motion	lapsed
noun.state	delirium
noun.event	storm
noun.time	April
noun.time	date
verb.stative	ceased
noun.person	Wilcox
noun.state	bondage
noun.communication	Castro
noun.time	reign
noun.cognition	mastery
noun.shape	brink
noun.feeling	horrors
verb.stative	bear
noun.cognition	horrors
noun.time	April
noun.state	menace
noun.act	siege
noun.substance	soul
noun.act	cabling
noun.act	arranging
verb.communication	bade
noun.person	host adieu
noun.location	Dunedin
verb.motion	lingered
noun.artifact	taverns
noun.location	Waterfront scum
noun.person	mongrels
verb.perception	noted
noun.location	Auckland
noun.person	Johansen
noun.communication	questioning
noun.location	West Street
